epoch,train_loss,val_loss,val_accuracy,val_f1,val_precision,val_recall,lr
1,0.316711,0.322727,0.7993,0.8589,0.8658,0.8522,1.9974538510502865e-05
2,0.26205,0.270899,0.788,0.8428,0.8999,0.7925,1.939920395870543e-05
3,0.223179,0.32034,0.8053,0.8664,0.8529,0.8802,1.766472742416036e-05
4,0.172077,0.353133,0.7944,0.8532,0.8741,0.8332,1.500577164293231e-05
5,0.118707,0.568696,0.7915,0.8603,0.828,0.8953,1.1745233801473321e-05
6,0.080341,0.649125,0.7847,0.8572,0.8174,0.901,8.272271619813873e-06
7,0.056182,0.791427,0.7849,0.8572,0.8177,0.9008,5.0115499482370436e-06
8,0.039981,0.970604,0.7831,0.859,0.8044,0.9216,2.3481317641241187e-06
9,0.030191,0.989074,0.7858,0.8587,0.8149,0.9074,6.076418188056521e-07
10,0.028266,0.996533,0.7853,0.8583,0.8146,0.907,1.2095626094055235e-11
