epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,val_weighted_f1,lr
1,0.157834,0.090973,0.761,0.7085,0.7716,1.3336533845415267e-05
2,0.090059,0.096401,0.7682,0.7059,0.7776,1.9932289899462073e-05
3,0.054916,0.109665,0.7798,0.7147,0.7858,1.939896187082824e-05
4,0.037769,0.099641,0.7769,0.7107,0.7803,1.840932252854906e-05
5,0.036807,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
6,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
7,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
8,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
9,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
10,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
11,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
12,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
13,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
14,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
15,0.0,0.099439,0.7768,0.711,0.7802,1.7502174202952017e-05
