epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,val_weighted_f1,lr
1,0.115365,0.068153,0.6226,0.5967,0.6275,9.99457111834962e-06
2,0.069961,0.069647,0.6537,0.6193,0.6652,1.9991856677524433e-05
3,0.051259,0.08292,0.6664,0.6331,0.6719,1.984832423297014e-05
4,0.03777,0.096416,0.6735,0.6382,0.6823,1.9397736120325663e-05
5,0.028252,0.107184,0.6688,0.6343,0.6783,1.8661674965838148e-05
6,0.021682,0.12556,0.6781,0.6417,0.6845,1.766288009378418e-05
7,0.017181,0.138677,0.662,0.6278,0.669,1.6431141798558615e-05
8,0.013184,0.164058,0.6701,0.6278,0.6697,1.5004102314596e-05
9,0.0103,0.173834,0.6781,0.6382,0.6782,1.3425543137646625e-05
10,0.00801,0.198447,0.6827,0.6368,0.6825,1.1742546750727555e-05
11,0.006384,0.207934,0.6754,0.6396,0.6794,1.0006158870478158e-05
